Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2gfcDc4XwShheQU9QrR4ao,"Madura Palapalakkuthu","Devarattam (Original Motion Picture Soundtrack)","Nivas K Prasanna;Vijay Sethupathi;Priyanka Deshpande;Niranjana Ramanan",2019-04-26,425600,58,false,,2026-03-18T14:52:31Z,"tamil pop,kollywood,tamil dance,devotional","Think Music",0.483,0.907,1,-6.406,1,0.337,0.28,0,0.0425,0.697,89.084,4
spotify:track:5GQPBzoRBDxcAjwSSluQXD,"Pretty Little Baby","Connie Francis Sings Second Hand Love & Other Hits","Connie Francis",1962-04-10,142520,74,false,,2026-03-01T08:10:47Z,"schlager","Universal Records",0.783,0.396,8,-8.792,1,0.035,0.734,0.0000033,0.264,0.627,121.397,4
spotify:track:4HLU9eCUJJfXRzX0e67eNN,"Nilavu Thoongum Neram - Duet","Kunguma Chimizh (Original Motion Picture Soundtrack)","Ilaiyaraaja;S. P. Balasubrahmanyam;S. Janaki",1985-01-01,273866,55,false,,2026-02-25T03:36:57Z,"tamil pop,telugu pop,kollywood,kannada pop,devotional,sandalwood,tollywood","Echo Recording Co. Pvt. Ltd.",0.489,0.324,5,-7.181,1,0.0292,0.927,0.00161,0.125,0.358,95.228,3
spotify:track:21IYMdzTrzSe191Cy5eMap,"Sailor Song","At The Beach, In Every Life","Gigi Perez",2025-04-25,211978,90,false,,2026-02-24T06:18:37Z,"","Outtahere, LLC / Island Records",0.499,0.392,11,-10.441,1,0.0262,0.627,0.000071,0.192,0.272,95.076,4
spotify:track:0ngnYwqwJHA1FwgNzP0Stw,"Yaar Enna Sonnalum","Aambala (Original Motion Picture Soundtrack)","Hiphop Tamizha;Kutle Khan;Anthony Daasan;Varun",2014-12-27,290226,52,false,,2026-02-23T08:36:25Z,"tamil hip hop,tamil pop,kollywood,tamil dance,tamil indie,hindi indie,indian indie,kannada pop","Divo Tv Private Limited",0.628,0.837,11,-5.013,0,0.0351,0.467,0,0.231,0.578,120.014,3
spotify:track:3uRLBAYeAqiHyVAdi5EsLG,"Dumm Dumm","Darbar (Tamil) [Original Motion Picture Soundtrack]","Anirudh Ravichander;Nakash Aziz",2020-03-30,272500,43,false,,2026-02-17T08:52:41Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop,bollywood,desi,hindi pop","Divo Tv Private Limited",0.735,0.936,8,-5.871,0,0.105,0.119,0.00299,0.0368,0.755,141.947,4
spotify:track:3RvXateJE43LA3aippENg4,"Nillayo","Bairavaa","Haricharan;Santhosh Narayanan;Vairamuthu",2016-12-11,252417,60,false,,2026-02-17T04:51:28Z,"mollywood,tamil pop,tollywood,malayalam pop,telugu pop,kollywood,kannada pop,tamil dance,tamil hip hop","Lahari Music",0.671,0.454,9,-7.249,0,0.0276,0.763,0.000277,0.149,0.286,144.95,3
spotify:track:2YRVd8cvSqT2Zta5TGTPRF,"Hi Sonna Pothum","Comali (Original Motion Picture Soundtrack)","Hiphop Tamizha;Kaushik Krish;Pradeep Ranganathan",2019-08-14,230430,53,false,,2026-01-31T09:53:22Z,"tamil hip hop,tamil pop,kollywood,tamil dance,tamil indie","Sony Music Entertainment India Pvt. Ltd.",0.482,0.696,0,-6.646,0,0.089,0.285,0.00000203,0.115,0.655,183.932,4
spotify:track:5KUp3VNVnUUTADBi6Ep2nk,"Yaarumilla","Kaaviyathalaivan (Original Motion Picture Soundtrack)","A.R. Rahman;Shweta Mohan;Srinivas",2014-08-21,272106,52,false,,2026-01-27T07:42:28Z,"tamil pop,kollywood,bollywood,sufi,hindi pop,mollywood,malayalam pop,tollywood,telugu pop,kannada pop","Sony Music Entertainment India Pvt. Ltd.",0.55,0.525,6,-5.015,1,0.0296,0.698,0.00000105,0.0916,0.543,138.009,4
spotify:track:2Uyj6K6mSaFTZsPvov415i,"KALYANI","KALYANI","ARJN;KDS;FIFTY4;RONN",2025-11-11,234489,78,false,,2026-01-25T17:42:45Z,"malayalam hip hop,malayalam pop,mollywood,tamil indie","Universal Music India Pvt Ltd.",0.632,0.726,5,-7.5,0,0.192,0.415,0.0327,0.102,0.436,195.917,4
