Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3l53cupbhGkJotXieClfEj,"Make You Love Me","Make You Love Me","Shiloh Dynasty;steezy prime",2025-02-14,78758,18,false,thegoodfm,2025-02-14T16:26:46Z,"lo-fi,lo-fi hip hop,lo-fi beats","Create Capital",0.939,0.265,7,-13.047,0,0.0776,0.889,0.813,0.102,0.388,122.044,4
spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? [From The Motion Picture ""Barbie""]","Billie Eilish",2023-07-13,222369,86,false,thegoodfm,2023-08-28T15:38:30Z,"","Darkroom/Interscope Records",0.391,0.084,0,-17.843,1,0.0317,0.953,0,0.0983,0.111,79.449,4
spotify:track:4pPRhtdxQ4znVPHXqyZTBT,"Losing Interest","Losing Interest","Shiloh Dynasty;Mondo Loops",2025-01-10,134736,15,false,thegoodfm,2025-01-10T14:38:43Z,"lo-fi hip hop,lo-fi,lo-fi beats","Create Capital",0.724,0.017,1,-29.981,1,0.0393,0.783,0.91,0.126,0.103,114.039,4
spotify:track:0lklTgbivbkgv8yZBzsCIl,"All That Matters","All That Matters","Shiloh Dynasty;saint rumi",2024-12-10,116571,15,false,thegoodfm,2024-12-10T16:30:21Z,"jazz beats,lo-fi","Create Capital",0.864,0.216,1,-14.515,0,0.0823,0.821,0.19,0.311,0.475,139.892,4
spotify:track:3nBMdzYP8bSum4TpyHlnTg,"Tinted Blue","Tinted Blue","jazzluv",2025-01-10,89589,14,false,thegoodfm,2025-01-10T14:38:08Z,"jazz beats","jazzluv",0.455,0.191,6,-13.661,0,0.0891,0.772,0.937,0.11,0.157,143.158,4
spotify:track:11o9ILVd8LAYx0dkRNIHFf,"So Alone, So Long","So Alone, So Long","Shiloh Dynasty;saint rumi;Erwin Do",2025-01-07,160800,8,false,thegoodfm,2025-01-10T14:39:53Z,"jazz beats,lo-fi,jazz house,lo-fi beats","Create Capital",0.745,0.404,0,-12.545,0,0.126,0.48,0.129,0.141,0.436,99.986,4
spotify:track:6nDv6Sh3nGEVD0lvEchdP9,"Hold You","Hold You","Imfinenow;Gina Livia",2023-09-22,140000,13,false,thegoodfm,2023-09-22T06:41:20Z,"lo-fi,tropical house","TheGoodVibe",0.649,0.617,6,-6.4,1,0.382,0.789,0.000304,0.312,0.28,126.032,4
spotify:track:0NmRa2FB4oy3r43q9SSVxt,"idk2","idk2","Gina Livia",2024-11-29,229140,0,false,thegoodfm,2024-12-01T15:06:42Z,"tropical house","TheGoodVibe",0.546,0.413,9,-9.196,0,0.0387,0.258,0,0.0958,0.122,117.019,4
spotify:track:6BpmUtZ0zPlqYSCFoPfEvb,"Two Again","Two Again","Christian Burrows",2017-06-21,184412,42,false,thegoodfm,2023-08-29T09:33:07Z,"","Independent",0.597,0.4,7,-5.853,1,0.198,0.755,0,0.11,0.398,159.119,4
spotify:track:1odExI7RdWc4BT515LTAwj,"Daylight","Daylight","David Kushner",2023-04-14,212953,14,false,thegoodfm,2023-08-28T15:50:52Z,"","Miserable Music Group, LLC",0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,4
spotify:track:2K4yiB6oNXyLCg3ljEyv9k,"when you're gone","when you're gone","saint rumi;LUXID AXID",2024-12-09,128000,10,false,thegoodfm,2024-12-09T14:37:39Z,"jazz beats,lo-fi,lo-fi beats","saint rumi",0.609,0.321,5,-12.136,0,0.033,0.817,0.458,0.0975,0.146,77.997,4
