song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream
En Iniya Pon Nilave,K J Yesudas,/artist/k-j-yesudas,04:18,Tamil,04-04-2002,0.8,0.849,0.467,0.17,-3.264,0.02,162.04,1,0,0.06,4,46,7160839
Andhi Mazhai Pozhigirathu,S. Janaki|S. P. Balasubrahmanyam|T.V. Gopalakrishnan,/artist/s-janaki|/artist/s-p-balasubrahamanyam|/artist/tv-gopalakrishnan,04:36,Tamil,01-03-2023,0.1,0.36,0.039,0.18,-4.747,0.0677,151.99,1,5,0.0688,4,53,4329874
Madai Thiranthu,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:21,Tamil,06-12-2013,0.82,0.565,0.618,0.292,-8.403,0.01,128.026,0,5,0.0834,4,47,7299039
Ilamai Ennum Poonkaatru,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:08,Tamil,07-07-2002,0.02,0.2,0.378,0.67,-9.441,0.021,169.464,1,5,0.02,4,51,8531979
Ithu Oru Ponmalai,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:20,Tamil,04-03-2020,0.29,0.663,0.014,0.765,-12.583,0.095,145.046,1,6,0.019,4,77,4102936
En Kanmani,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,03:41,Tamil,09-10-2012,0.62,0.23,0.052,0.97,-4.046,0.0826,173.88,0,0,0,4,85,10421017
Senorita,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:24,Tamil,01-06-2003,0.19,0.195,0.925,0.777,-8.851,0.014,162.149,1,1,0.056,4,71,2783036
Senthazhampoovil,K J Yesudas,/artist/k-j-yesudas,04:35,Tamil,12-01-2008,0.68,0.45,0.924,0.19,-2.296,0.086,171.638,1,7,0.006,4,36,9516156
Aagaya Gangai,Malaysia Vasudevan|S. Janaki,/artist/malaysia-vasudevan|/artist/s-janaki,04:37,Tamil,03-10-2018,0.23,0.969,0.513,0.086,-11.556,0.03,120.993,1,1,0.042,4,98,10793962
Orey Naal Unnai,Vani Jairam|S. P. Balasubrahmanyam,/artist/vani-jayaram|/artist/s-p-balasubrahamanyam,04:13,Tamil,09-04-2019,0.69,0.68,0.642,0.35,-8.934,0.0467,165.02,1,1,0.02,4,42,9195655
Sendhoora Poove,S. Janaki,/artist/s-janaki,03:34,Tamil,05-07-2014,0.22,0.863,0.812,0.893,-6.999,0.0444,160.034,1,1,0.04,4,69,4154463
Vaa Vennila Unnaithane,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:40,Tamil,11-12-2012,0.4,0.95,0.581,0.65,-2.663,0.0184,113.078,0,11,0.093,4,79,1179521
Bhoopalam Isaikkum,Uma Ramanan|K J Yesudas,/artist/uma-ramanan-1|/artist/k-j-yesudas,04:24,Tamil,04-11-2010,0.47,0.235,0.07,0.57,-12.339,0.021,130.131,1,9,0.071,4,55,10339432
Aasaiye Kaathule.,S. P. Sailaja|Chorus,/artist/s-p-sailaja-2|/artist/chorus,04:41,Tamil,07-05-2010,0.06,0.06,0.299,0.26,-12.684,0.035,192.104,0,10,0.057,4,42,1469538
Kaathodu Poovurasa,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,04:34,Tamil,07-10-2016,0.45,0.879,0.059,0.686,-4.386,0.05,139.986,1,8,0.09,4,39,4573503
Poongathave,Deepan Chakravarthy|Uma Ramanan,/artist/deepan-chakravarthy|/artist/uma-ramanan-1,04:22,Tamil,07-07-2008,0.84,0.86,0.888,0.68,-9.996,0.03,139.956,0,6,0.0181,4,27,3358489
Sorgam Madhuvile,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:34,Tamil,10-09-2008,0.95,0.552,0.224,0.97,-10.388,0,139.973,1,1,0.067,4,89,4972246
Machaanai Paatheengala,S. Janaki,/artist/s-janaki,04:36,Tamil,02-07-2023,0.69,0.79,0.983,0.12,-10.097,0.03,114.258,0,1,0.05,4,79,9308946
Oru Thanga Radhathil,Malaysia Vasudevan,/artist/malaysia-vasudevan,04:26,Tamil,08-11-2022,0.69,0.635,0.365,0.46,-10.406,0.0788,130.036,1,11,0.0623,4,77,7737042
Siruponmani Asaiyum,S. Janaki|S. P. Balasubrahmanyam,/artist/s-janaki|/artist/s-p-balasubrahamanyam,03:57,Tamil,05-06-2016,0.97,0.82,0.945,0.66,-12.148,0.037,170.033,1,5,0.0671,4,63,4713497
Andhi Mazai,Leslie Lewis,/artist/leslie-lewis,05:04,Tamil,01-05-2019,0.91,0.872,0.719,0.975,-6.328,0.0875,119.9,0,0,0.024,4,85,375511
Chevvanthi Poo,Malaysia Vasudevan|P. Susheela,/artist/malaysia-vasudevan|/artist/p-suseela-2,04:34,Tamil,01-07-2012,0.94,0.99,0.466,0.56,-3.229,0.08,190.034,1,1,0.08,4,52,3513433
Meenkodi Theril,K J Yesudas,/artist/k-j-yesudas,04:31,Tamil,08-01-2007,0.45,0.076,0.865,0.749,-3.951,0.0884,108.963,1,7,0.096,4,59,5922764
Aayiram Malargale,Malaysia Vasudevan|S. P. Sailaja|Jency Anthony,/artist/malaysia-vasudevan|/artist/s-p-sailaja-2|/artist/jency-anthony,05:22,Tamil,12-09-2011,0.05,0.26,0.061,0.9,-4.708,0.01,168.068,0,5,0.0746,4,46,3045246
Injarango,Kamal Haasan|Clinton Cerejo|Dominique Cerejo|K. S. Chithra,/artist/kamal-haasan|/artist/clinton|/artist/dominique-cerejo|/artist/chitra,06:15,Tamil,06-04-2017,0.56,0.784,0.553,0.574,-6.348,0.0883,120.973,0,5,0.06,4,83,7548319
Podhuvaga En Manasu,Malaysia Vasudevan,/artist/malaysia-vasudevan,05:06,Tamil,07-06-2007,0.1,0.4,0.631,0.59,-4.172,0.048,130.032,0,3,0.0744,4,61,8942899
Engeyum Eppodhum,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,06:31,Tamil,07-10-2012,0.7,0.574,0.71,0.239,-5.97,0.0563,182.03,0,8,0.0765,4,35,1445077
Vizhiyile Malarndhadhu,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:22,Tamil,11-04-2005,0.33,0.13,0.753,0.81,-9.032,0.06,200.008,1,2,0.01,4,36,10279594
Manjolai Kilithaano,P. Jayachandran,/artist/p-jayachandran-1,04:04,Tamil,11-07-2019,0.25,0.727,0.001,0.437,-5.947,0.0821,131.036,1,2,0.045,4,75,1138796
Poovarasampoo,S. Janaki,/artist/s-janaki,04:45,Tamil,08-02-2019,0.21,0.69,0.165,0.45,-2.666,0.0252,139.953,0,3,0.0273,4,54,3479507
Azhagiya Kanne,S. Janaki,/artist/s-janaki,04:52,Tamil,01-03-2012,0.62,0.38,0.686,0.112,-4.919,0.056,129.976,1,8,0.096,4,73,5514183
Muthaitharu,T.M. Soundararajan,/artist/tm-soundararajan,03:16,Tamil,04-12-2022,0.45,0.68,0.359,0.98,-10.251,0.0215,162.127,1,9,0.0208,4,93,3502986
Naan Anaiyittaal,T.M. Soundararajan,/artist/tm-soundararajan,05:03,Tamil,06-10-2018,0.02,0.71,0.076,0.977,-6.914,0.079,164.963,0,10,0.03,4,75,9787057
Thaaliyae Thevaiyillai,Bhavatharini|Hariharan,/artist/bhavatharini|/artist/hariharan,04:47,Tamil,09-07-2005,0.62,0.36,0.722,0.83,-2.454,0,155.022,0,4,0.039,4,76,9726836
Neengatha Ennam,Malaysia Vasudevan|S. Janaki,/artist/malaysia-vasudevan|/artist/s-janaki,04:07,Tamil,09-06-2020,0.98,0.331,0.015,0.283,-11.301,0.055,150.009,1,5,0.03,4,89,2882889
Kanmaniyae Kadhal Enbathu,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:25,Tamil,09-08-2023,0.82,0.3,0.129,0.36,-10.779,0.03,159.951,0,10,0.0077,4,38,743133
Ithu Oru Ponmalai,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:18,Tamil,05-01-2004,0.68,0.676,0.604,0.456,-3.967,0.02,161.05,1,8,0.08,4,100,7761372
Thaalaattu,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,03:05,Tamil,05-07-2010,0.95,0.64,0.136,0.46,-10.658,0.076,145.09,1,6,0.02,4,84,1911368
En Vaanilay,Jency,/artist/jency,04:49,Tamil,06-08-2009,0.65,0.261,0.55,0.296,-13.797,0.001,160.032,1,0,0.04,4,84,3344544
Uravugal Thodarkathai,K J Yesudas,/artist/k-j-yesudas,04:27,Tamil,10-10-2022,0.53,0.9,0.619,0.31,-8.906,0.01,199.986,1,11,0.0598,4,100,2116206
Oru Iniya Manathu,Sujatha Mohan,/artist/sujatha,04:22,Tamil,09-08-2001,0.34,0.155,0.922,0.348,-10.902,0.088,189.922,0,10,0.1,4,61,248279
Nilai Marum Ulagil,K J Yesudas,/artist/k-j-yesudas,04:51,Tamil,10-09-2001,0.05,0.88,0.397,0.04,-13.936,0.03,141.037,0,4,0.04,4,58,1298602
Chippiyirukkuthu,S. Janaki|S. P. Balasubrahmanyam,/artist/s-janaki|/artist/s-p-balasubrahamanyam,04:52,Tamil,10-08-2006,0.12,0.03,0.248,0.025,-2.616,0.04,150.044,1,2,0.063,4,50,2062009
Ragangal Padhnaaru,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:06,Tamil,08-04-2021,0.93,0.72,0.069,0.87,-8.546,0.0271,129.999,0,4,0.018,4,76,2955920
Andhi Mazhai Pozhikaruthu,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:35,Tamil,01-02-2015,0.36,0.187,0.466,0.202,-4.112,0.07,138.001,1,1,0.08,4,37,9231571
Deivam Thantha,K J Yesudas,/artist/k-j-yesudas,04:37,Tamil,03-05-2005,0.42,0.44,0.107,0.46,-3.888,0.011,112.01,1,1,0.08,4,44,4027487
Chinnappayalae,T.M. Soundararajan,/artist/tm-soundararajan,03:58,Tamil,07-01-2012,0.73,0.901,0.567,0.473,-9.598,0.0221,139.961,1,1,0.053,4,35,2984533
Azhagaana Manjappura,Mano|S. Janaki,/artist/mano|/artist/s-janaki,04:58,Tamil,01-11-2011,0.58,0.92,0.537,0.92,-10.876,0.018,199.916,0,2,0.0766,4,79,8965387
Yerikkarai Poonkatre,K J Yesudas,/artist/k-j-yesudas,03:41,Tamil,10-05-2014,0.53,0.145,0.713,0.156,-7.657,0.0145,120.038,1,0,0,4,76,10025986
Chuzhi Pottu,Sirkazhi Govindarajan,/artist/sirkazhi-govindarajan,03:19,Tamil,04-12-2007,0.03,0.9,0.434,0.63,-5.21,0.0638,180.026,1,1,0.093,4,97,5911260
Aaru Maname Aaru,T.M. Soundararajan,/artist/tm-soundararajan,05:25,Tamil,03-02-2016,0.01,0.154,0.172,0.734,-9.042,0.1,144.912,1,8,0.028,4,53,4743797
Naan Pollathavan,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:26,Tamil,10-01-2011,0.71,0.38,0.975,0.61,-2.218,0.058,140.017,1,0,0.08,4,73,1752337
Illamai etho ehto,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,05:49,Tamil,02-10-2006,0.64,0.481,0.613,0.247,-9.784,0.0199,109.237,0,0,0.0998,4,43,7780048
Ulagam Piranthathu,T.M. Soundararajan,/artist/tm-soundararajan,04:36,Tamil,08-01-2017,0.93,0.75,0.081,0.63,-12.503,0.0147,196.062,1,2,0.026,4,33,3014364
