song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream
Bheegi Bheegi Raaton Mein,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,03:54,Old,03-06-2017,0.19,0.794,0.86,0.732,-4.131,0.07,124,0,7,0.059,4,51,7892545
Aap Ki Ankhon Mein Kuch,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,04:09,Old,04-04-2013,0.97,0.99,0.466,0.746,-7.594,0.0743,127.017,1,0,0.064,4,47,6639448
Tum Aa Gaye Ho Noor Aa Gaya,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,04:13,Old,08-11-2006,0.96,0.982,0.08,0.399,-8.988,0.066,126.005,1,4,0.0234,4,70,1484141
Hamen Tumse Pyar Kitna,Kishore Kumar,/artist/kishore-kumar,04:02,Old,01-05-2020,0.59,0.37,0.403,0.677,-12.012,0.091,124.995,0,10,0.07,4,91,8585014
Tere Bina Zindagi Se,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,05:54,Old,04-02-2013,0.82,0.383,0.215,0.384,-4.998,0.09,127.007,1,1,0.06,4,78,8392655
Kora Kagaz Tha Yeh Man Mera,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,05:39,Old,07-03-2016,0.78,0.62,0.026,0.59,-11.008,0.0792,127.013,0,1,0.001,4,100,5334491
Lag Ja Gale Se Phir,Lata Mangeshkar,/artist/lata-mangeshkar,04:18,Old,05-08-2007,0.38,0.925,0.519,0.655,-6.68,0.0558,124.025,0,8,0.047,4,89,10402551
Ae Mere Humsafar,Udit Narayan|Alka Yagnik,/artist/udit-narayan|/artist/alka-yagnik,05:56,Old,10-03-2022,0.59,0.1,0.612,0.273,-5.522,0.0573,130.009,1,0,0.024,4,83,6902924
Ek Ajnabee Haseena Se,Kishore Kumar,/artist/kishore-kumar,04:27,Old,05-03-2015,0.81,0.654,0.055,0.906,-3.288,0.019,125.021,1,6,0.02,4,54,6232400
Tere Mere Milan Ki Yeh Raina,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,04:55,Old,04-03-2006,0.41,0.94,0.594,0.191,-5.099,0.09,125.002,0,4,0.07,4,48,5020044
